"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
75.0975475299347,71.1513146860234,111.534600566141,115.540405892418,45.8718638673308,32.0050897854744,90.7297624060302,48.1505424802453,27.704619430915,176.045581778453,41.9785370255122,14.9965634343898,42.4011698346731,25.5300458557031,68.4377921440755,29.050228346212,156.856546366937,54.0888332451432,23.7853068032928,36.4217421629291,91.8455121530715,63.8025116274948,66.1563884835195,31.4305097479228,56.5660026452679,118.789655793109,35.7185947230464,38.7861506052577,61.6431686081924,120.046246676415,90.7308742535824,45.9501816781267,37.4735336986996,114.430678950681,70.1475289043155,73.8143666563119,129.109707846714,25.5536364400832,128.420959943498,27.3412536422111,48.7769926804176,26.4067738801314,21.4499248607171,29.8346800841682,58.3171211379522,41.5601645334682,34.0224380809232,39.412998444328,123.328166186897,32.9503831227412,116.59854577083,36.4902989392431,87.9558743247471,29.8252053125107,37.7374298375071,76.0524353419314,30.9455822468808,141.065344056929,24.1760960195534,46.6028814087767,74.8131652598386,78.0449675181881,20.6641805409381,22.4755659334842,45.1420816136379,61.2476967638067,47.6359861339442,48.1636603016086,92.2694454621669,134.566396452952,60.299029925809,47.4325449165772,65.8692479827732,27.0588179974875,134.493249584862,70.9230069392797,48.2705154673313,55.0403748476092,58.4175302695512,49.2434868498967,33.3273791286774,57.2274595108756,72.9371651213878,52.1130758729269,17.4162937093133,76.8673356452637,21.3905055848445,145.864669330564,129.956860267121,24.9610006123039,43.4998492546438,58.1299729043239,209.327846189582,77.1240737330809,123.233868379233,74.0590590060892,47.4653720326751,59.2950697826018,167.162731946388,71.5223800199601
79.8083543890971,76.1608060103317,118.437136140914,122.791098376882,48.8912310870655,34.2318080048572,96.594536555378,51.4372336919187,29.8054399003377,186.602729586943,44.7946388531418,16.263127858605,45.5119564618799,27.6005620817814,72.7186250113446,31.1518261376623,166.185226382571,57.720557505294,25.7254191628017,39.0475303704443,97.621716256981,67.9073887946724,70.3407257815998,33.7059658129074,60.152371291595,126.108787094068,38.4085964773549,41.5241942707362,65.691812170815,127.529459051439,96.5579603593505,49.1995393366233,40.0391982840883,121.29087710951,74.7557199453877,78.4183044781093,136.846965035569,27.48766034648,136.229445637466,29.3181032750072,52.1637122464745,28.2363433685969,23.1414794118537,32.0272123482137,62.1180154398608,44.3982941680442,36.7520671470556,42.3505209538416,130.70703539747,35.3310279913858,123.944505715539,39.2174705907673,93.447826514297,32.073888379964,40.2603699428801,80.9750356694858,33.1679099452813,149.855680876295,26.0987346637121,49.7546498682495,80.0117425623175,83.0281282810902,22.3719957617504,24.2191515220984,48.3045456569234,65.3612872655067,50.7585903513391,51.3436023254471,98.0269525700132,143.143123756483,64.4516547232633,50.7392812448379,70.2568229526514,29.2698528308683,142.922223454603,75.655518159896,51.586400624481,58.8186817373207,62.2204596711235,52.7070692253328,35.6710589071154,60.9906058219058,77.5787997362349,55.6703082923632,18.8705432187635,81.6960078741831,23.0705804624085,154.893575750291,137.885379776679,26.7929428598291,46.6716108967375,62.1170487652416,221.919418105157,81.8625049881375,130.712910425704,78.6882899765915,50.7368372671626,63.0655038719706,177.241183944832,76.1888423945347
84.8928163266683,81.7965788368601,125.941195856722,130.730837611016,52.1438181113335,36.6446446573464,103.066563013184,55.0189719548362,32.1095615173908,198.126984143048,47.8320620517043,17.657094949318,48.9043788498675,29.8803918517588,77.3605995439721,33.4694921575647,176.433352546679,61.6779521317076,27.8688912252546,41.931701669062,103.859667694385,72.348155220534,74.9017130883149,36.2075755092883,64.0194816569274,134.211772878713,41.3695166723628,44.5159201460046,70.1370138524217,135.754006894102,103.000516339438,52.7982708570635,42.8166776791695,128.788446730265,79.8044955369114,83.4634635787806,145.322243017406,29.6243491734567,144.705809599051,31.4707607566888,55.8463193107018,30.2048833178778,24.9992650769127,34.46383753806,66.2465867134597,47.4937448700948,39.7670186116011,45.6213807334425,138.735592597339,37.9313815739733,132.075735617691,42.217165012451,99.4147255710559,34.49724199099,42.995729363276,86.3853892667685,35.5642281794862,159.563226341503,28.229601090803,53.1844415906526,85.8689206872077,88.4555041851127,24.2513376427087,26.1453719738493,51.7756611035293,69.8925949000841,54.1764472455252,54.7891856897622,104.280569084556,152.699477475777,69.0550026747223,54.3637328873301,75.0436043906811,31.7210064780957,152.270675706823,80.9310387729347,55.2179582205281,62.9926866954338,66.3674139354262,56.4798371273791,38.2150299234854,65.0845794054039,82.597993189891,59.5670422827679,20.4784241683592,86.9019382911938,24.9082346719006,164.850459865353,146.524962413241,28.7572469639126,50.2083999992319,66.5573880752927,235.789553574432,87.0180062907748,138.865584381158,83.7004594405735,54.2764727772737,67.1363964558986,188.267093990784,81.3578562481271
90.254623947214,87.9376963334507,133.898537458736,139.197656247969,55.569919713671,39.1987169030108,110.009879953461,58.8264017221081,34.5731410128283,210.38643736497,51.03508054142,19.1526124084121,52.5150637379993,32.3267120046439,82.272534678501,35.9567929783807,187.385706049943,65.8838370398153,30.1749912215309,45.0176105182618,110.441703828663,77.0402234603389,79.7473824103799,38.8860142996782,68.0944958562613,142.923089832882,44.5440496606316,47.7034967364743,74.8874920312082,144.548537445808,109.921545124642,56.6724780382792,45.7542590709054,136.768329386105,85.1917051593628,88.8445701537858,154.359016978618,31.921599844005,153.68355471961,33.7587574928548,59.7552023850585,32.277362850502,26.9882805421148,37.0946821564867,70.6225388623425,50.7861509256618,43.0098900464363,49.1590446700866,147.252331290598,40.7018092654034,140.818164094118,45.4312897712225,105.738683422533,37.0535731663549,45.8913183234254,92.1714507532306,38.0921665489004,169.982674122293,30.5272578401346,56.8259822800173,92.2576454281225,94.2192691572855,26.2671923925445,28.2167256456887,55.486604187754,74.7483567011368,57.8200419568748,58.4346936748625,110.907122119737,163.028359718912,74.0132104601944,58.2343779626972,80.1356318224716,34.3652416507175,162.337534275575,86.635643105401,59.0932103116356,67.4763375010662,70.7757699724898,60.4902756569209,40.9117654646834,69.4293756653497,87.899160823712,63.7257492788194,22.2095105711705,92.3874454094184,26.8694552565648,175.525650072319,155.702290909743,30.8208808457275,54.0370497263502,71.3565908875025,250.649402369803,92.4864794442256,147.527151483664,88.9983211949875,58.0191320858576,71.4305794183019,200.015879389161,86.918902502628
95.8267193604115,94.4977488571312,142.206435101922,148.078825028264,59.1272906111408,41.861659256072,117.328940620762,62.8098544638924,37.1637757044518,223.222568090714,54.3640379240387,20.7299715524496,56.2976436614263,34.9072995670867,87.3908818238997,38.5799058429984,198.895203836699,70.2832239493291,32.6130590252724,48.2640323264786,117.285941958646,81.9241709287453,84.8133386727714,41.7053251064499,72.3264874429442,152.121297994949,47.890000428335,51.0450302238314,79.8786163825425,153.794052658952,117.224958751409,60.7688223035657,48.8148498194641,145.124001528689,90.8449793813779,94.4882247923379,163.836148071918,34.348376034417,163.048091899516,36.1525762532401,63.840252286187,34.4285869849846,29.0823698031018,39.8833484243951,75.1891776217672,54.2322317727812,46.4377207029611,52.914826995504,156.146322435758,43.6061328885626,150.050608289806,48.8171573689615,112.337671970905,39.7120933621991,48.9099256776171,98.2543044426566,40.7209081721012,180.971751460747,32.9607688428441,60.6319346906384,99.0874737058475,100.243822823177,28.3930440368931,30.4053627382964,59.3876582381781,79.862189896332,61.6400576207961,62.2335446580837,117.820955911695,173.985626291338,79.2576502779848,62.2996698778006,85.4659923228028,37.1671891261431,172.983231149265,92.6884572051349,63.160487116169,72.2080080502201,75.3871564772562,64.6867378084571,43.7268964911927,73.9683565712912,93.4154203750222,68.0909274004662,24.0407360037425,98.0845485075843,28.9288216045679,186.774099910806,165.297876135388,32.9596709557882,58.1044479733391,76.4471234740922,266.301818403474,98.1957366679708,156.584143938759,94.5140460378025,61.9180710292858,75.8940360334818,212.333435727021,92.7940142576699
101.55931968402,101.411231454142,150.789522879379,157.291471930104,62.7837785404554,44.6082396626443,124.952814576478,66.9311474268907,39.8555003256188,236.52159600993,57.7884995934874,22.3727260031737,60.2153652031993,37.5957478900746,92.6686389914394,41.3123701828445,210.857058928814,74.8341581413843,35.1579632342909,51.638676358285,124.331588582936,86.9553819883295,90.0517919859849,44.6372851998676,76.6774152771832,161.718581159308,51.3737622111221,54.5079955421097,85.0617775391875,163.403601629368,124.839718616306,65.046143396743,51.9697263800626,153.778724577016,96.7100120681425,100.340490199844,173.666601183941,36.8799753253916,172.716083909967,38.6289187692309,68.0625866372138,36.6389034966633,31.2602651371344,42.8013272047829,79.9037441824621,57.7987036802369,50.0155423154501,56.8505826234905,165.337834911421,46.6158632267543,159.684483504097,52.3408601215633,119.151164671683,42.4478886494326,52.023214911329,104.575089620674,43.4260410705465,192.427047961275,35.5050575777277,64.5660418865154,106.290327532246,106.472880856221,30.6069439335406,32.6889022833711,63.440462020415,85.1838260242803,65.5994059474033,66.1503536942764,124.958902954764,185.466171603621,84.7360095235927,66.5197718808631,90.9842423176888,40.0978903345167,184.106395410781,99.0293831847812,67.3800515293697,77.1406498332362,80.1576615183876,69.0289919702482,46.6335247365714,78.6586911500635,99.0968037758576,72.6200612166576,25.9530104393707,103.942735700373,31.065609376783,198.490680580435,175.22489032647,35.1542138283621,62.3693218494591,81.7779850522202,282.606368313514,104.092919723786,165.954301788937,100.197640620565,65.937049646207,80.4863637039671,225.10913236707,98.9251425068069
107.408256267707,108.620124706533,159.581896563672,166.763358174067,66.5102930156863,47.4154569017628,132.819466092013,71.1557397910801,42.624191001094,250.18581411583,61.2807480527117,24.0651910563683,64.2341419705335,40.3669990761409,98.0643412141362,44.1300687816547,223.182456001756,79.4989036574552,37.7859159279033,55.1120344870869,131.524604592603,92.0940019979607,95.4207890143734,47.6561522573465,81.1133423790307,171.640028523776,54.9642308816692,58.0624912213098,90.3940660891822,173.301928685163,132.704008826026,69.4673153669428,55.1928130726592,162.666771733144,102.73842862263,106.354530873723,183.776057921583,39.4935650271,182.615002210077,41.1662938094669,72.3867923656071,38.8901605467108,33.5019638682643,45.8227221773122,84.7280950803251,61.4555507370824,53.7103266239137,60.9313060824643,174.758182462101,49.7048265607082,169.643504699663,55.9710682164005,126.125978677388,45.2373625013643,55.2054094352061,111.08215480388,46.1848377176284,204.259610581095,38.1367105627432,68.5955184948689,113.806436333252,112.856626160225,32.8880737641084,35.0464864407404,67.6100616504264,90.6685129324178,69.6651834215154,70.1532618158963,132.2654274089,197.379684364627,90.4016868379549,70.8586258677242,96.6447071920556,43.1300758867219,195.620115189784,105.605277839786,71.7161932952004,82.2322424462473,85.0483665842476,73.4801966094092,49.6070700636992,83.462036070865,104.898868920296,77.2748945161002,27.9282215576823,109.917010643709,33.2603456251236,210.585098703566,185.408014158747,37.386164368414,66.7942552984023,87.3036729548912,299.443869419076,110.131996319469,175.566480542358,106.004747191735,70.0428378525976,85.171604011528,238.248107230844,105.26159182706
113.326975757809,116.064197131083,168.51484080893,176.419718909485,70.2758634137426,50.2587154816065,140.865005079628,75.4472288215038,45.4440825463025,264.113965104218,64.8113040500757,25.7904373031197,68.3176363042439,43.1942458454578,103.534829711309,47.0075965324213,235.780424002791,84.2377996349096,40.4714456465008,58.6529165254906,138.808020225973,97.2980523203587,100.876726789604,50.734659653448,85.598478916887,181.809428696317,58.6283226270025,61.6771777465474,95.8308570296504,183.411594042205,140.754372455558,73.9935411739862,58.4562620673169,171.720584587194,108.880143566246,112.48220610377,194.088275999064,42.1649377677022,192.669210629276,43.7418208915988,76.7752255491941,41.1629088043774,35.7860617440892,48.920238569568,89.6221702619659,65.1711045194679,57.4868263864337,65.1202806419169,184.335800223926,52.8451986761793,179.849566912162,59.6744880980114,133.206727087934,48.0550076753716,58.4295564733256,117.722002304581,48.9728359970977,216.378285822342,40.8306672552644,72.6858825845702,121.573843528022,119.343263317962,35.2139852631153,37.4559310483673,71.8599431751645,96.2698215419368,73.8032173572137,74.2087046674424,139.682671225688,209.633970804571,96.2061404413835,75.2782481523464,102.399808286107,46.2344559395788,207.435492881574,112.361808912596,76.1312733082741,87.4389756705204,90.0185535244382,78.0013042421197,52.6212818356871,88.3382461317378,110.774767356983,82.0153337362717,29.9468717188065,115.95995593234,35.4920819413965,222.964626972331,195.76918797812,39.6356267025549,71.3400627553638,92.9773904571921,316.691983363358,116.265348617992,185.347078783467,111.889093732767,74.2000877347018,89.9118032247497,251.651879006182,111.751220943304
119.261199228844,123.673972201475,177.508239401912,186.173609903082,74.0445869897376,53.10982030179,149.015587554139,79.7637424070708,48.2858168416496,278.186951513228,68.3460608004825,27.5293166356569,72.4242077169183,46.04694865684,109.029842781558,49.9159422736993,248.544537483016,89.0051632747054,43.1855486516361,62.2256523408578,146.11526379337,102.518822996513,106.369283532287,53.8416957653026,90.0912240838516,192.138301258528,62.3282527480624,65.3159487339872,101.320869441945,193.64263684125,148.917493627319,78.5803637578501,61.728073946535,180.861296196847,115.077203296576,118.667818147325,204.514177370147,44.8664711337697,202.789974203391,46.3293285943073,81.1846258464502,43.4347102476313,38.0882032795562,52.06270971497,94.5396937245241,68.9090382141003,61.3047739336471,69.3753125960793,193.987546482298,56.0051660285098,190.212172007392,63.4130798704864,140.328900031178,50.8715996082683,61.6644225904311,124.433023166086,51.7619237239487,228.676972161746,43.5583921520883,76.7974428645539,129.521111568698,125.872641702066,37.5592374808039,39.891928793113,76.1480587893893,101.934290093472,77.9741909979348,78.2779211591842,147.143167999617,222.121956854564,102.093661936044,79.7350863576285,108.19455358354,49.3776873867464,219.449462530785,119.236442489884,80.5821591558051,92.7105968593823,95.0213155162637,82.5474125229666,55.6460885432025,93.2409104093385,116.670029435743,86.7953173222195,31.9868395318481,122.016077948123,37.7370292826963,235.521419185039,206.217007697909,41.879704129431,75.9618032963917,98.7452713148377,334.206807659328,122.437579205332,195.210046278691,117.796785161816,78.3679898477712,94.6628797195299,265.205604377959,118.33404299448
125.146335153127,131.366897942789,186.466052738164,195.921502077632,77.7742448345962,55.9359057912588,157.183689196798,84.0562359522155,51.115431107115,292.26098422255,71.8449693835573,29.2599406311347,76.5055564493086,48.8900086943759,114.489858656118,52.8212726055353,261.346185058908,93.7473197657382,45.8948398865687,65.7887074002647,153.36691985291,107.698640820265,111.838444278503,56.9410435620521,94.542001249094,202.52066627983,66.0201853029575,68.936791197717,106.803558732703,203.887651936559,157.106349326932,83.1755272013979,64.9708593460309,189.994359416509,121.261247013957,124.845296840649,214.946769978909,47.566100529868,212.871031401184,48.8984483374588,85.5644715099625,45.6793624841885,40.3803439024559,55.21372963248,99.4260659195425,72.6268493154348,65.1176883092121,73.6471114493324,203.613206042588,59.1477652665635,200.623262337758,67.1426892627496,147.415905949252,53.6534765829638,64.8734777364152,131.142114965682,54.5194820504039,241.028570963041,46.2868690793985,80.8834797346062,137.563178630575,132.373644974286,39.8946598641123,42.3252034769321,80.4253333954548,107.599058465785,82.1318412100663,82.3151476841886,154.566780688314,234.715301053744,107.998641486382,84.1782296003366,113.964427651343,52.5212802066817,231.538378586672,126.155078666503,85.0183530723734,97.98798925546,100.001338569899,87.0661498558766,58.6464687662301,98.1154707414826,122.520111060468,91.5607701935805,34.0227184876785,128.019569616969,39.9678215741733,248.126010414446,216.642100958241,44.0919325115028,80.6066290644376,104.543418351561,351.813819803647,128.582845453711,205.052332960389,123.66391030082,82.4988371856307,99.3726222621626,278.770565668237,124.939048873886
